"Week 1","","",""
"","1:00 pm","Carolina Panthers","Tampa Bay Buccaneers"
"","1:00 pm","Green Bay Packers","Minnesota Vikings"
"","1:00 pm","Indianapolis Colts","New York Giants *"
"","1:00 pm","Las Vegas Raiders","New Orleans Saints"
"","1:00 pm","New York Jets","Buffalo Bills"
"","1:00 pm","Tennessee Titans","Jacksonville Jaguars"
"","4:25 pm","Dallas Cowboys","Philadelphia Eagles"
"","8:20 pm","Miami Dolphins","Cleveland Browns"
"Mon Dec 30","8:15 pm","Detroit Lions","San Francisco 49ers"
"* Tentative flex schedule game, start time is subject to change.","","",""
"Week 18","","",""
"Date","Time (ET)","Away Team","Home Team"
"Sun Jan 5","1:00 pm","Buffalo Bills","New England Patriots *"
"","1:00 pm","Carolina Panthers","Atlanta Falcons *"
"","1:00 pm","Chicago Bears","Green Bay Packers *"
"","1:00 pm","Cincinnati Bengals","Pittsburgh Steelers *"
"","1:00 pm","Cleveland Browns","Baltimore Ravens *"
"","1:00 pm","Houston Texans","Tennessee Titans *"
"","1:00 pm","Jacksonville Jaguars","Indianapolis Colts *"
"","1:00 pm","Kansas City Chiefs","Denver Broncos *"
"","1:00 pm","Los Angeles Chargers","Las Vegas Raiders *"
"","1:00 pm","Miami Dolphins","New York Jets *"
"","1:00 pm","Minnesota Vikings","Detroit Lions *"
"","1:00 pm","New Orleans Saints","Tampa Bay Buccaneers *"
"","1:00 pm","New York Giants","Philadelphia Eagles *"
"","1:00 pm","San Francisco 49ers","Arizona Cardinals *"
"","1:00 pm","Seattle Seahawks","Los Angeles Rams *"
"","1:00 pm","Washington Commanders","Dallas Cowboys *"
"* Tentative flex schedule game, start time is subject to change.","","",""
